generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
206,24,32,0,0,1,1,0,1,0,0,0,1,0.034000,1371,73,10,4,149,10.4500,0.4608,36.862,1,143,2992,80.0,20.0,40.0,60.0
206,25,32,1,0,0,0,0,1,1,0,1,1,0.033000,1410,73,10,4,149,10.9700,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
206,26,32,0,0,1,0,1,1,1,1,0,1,0.033000,1383,73,10,4,149,13.6700,0.4584,36.675,1,143,2992,40.0,60.0,40.0,60.0
206,27,32,0,0,1,1,1,1,1,1,1,0,0.028000,1415,73,10,4,149,10.9100,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
206,28,32,1,0,0,0,1,1,0,1,1,1,0.035000,1410,73,10,4,149,12.9300,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
206,29,32,0,1,0,1,1,0,0,1,0,1,0.037000,1392,73,10,4,149,3.0600,0.4444,35.550,1,143,2992,80.0,20.0,20.0,80.0
207,0,32,0,1,1,1,1,1,1,1,1,0,0.035000,1399,73,10,4,149,10.3600,0.4444,35.552,1,143,2992,20.0,80.0,20.0,80.0
207,1,32,0,0,0,0,1,0,1,1,1,1,0.032000,1392,73,10,4,149,11.1600,0.4610,36.879,1,143,2992,40.0,60.0,60.0,40.0
207,2,32,1,1,0,1,0,1,1,1,1,1,0.037000,1339,73,10,4,140,17.0000,0.4443,35.543,1,143,2992,40.0,60.0,0.0,100.0
207,3,32,0,0,1,0,1,1,1,1,1,1,0.035000,1382,73,10,4,149,23.9200,0.4610,36.879,1,143,2992,20.0,80.0,40.0,60.0
207,4,32,0,0,0,1,1,1,1,1,1,1,0.036000,1378,73,10,4,149,23.9200,0.4611,36.886,1,143,2992,40.0,60.0,20.0,80.0
207,5,32,1,1,1,1,0,1,1,1,0,1,0.036000,1339,73,10,4,140,15.6400,0.4443,35.543,1,143,2992,40.0,60.0,0.0,100.0
207,6,32,0,0,1,0,0,1,1,1,1,1,0.034000,1383,73,10,4,149,22.4900,0.4610,36.879,1,143,2992,40.0,60.0,40.0,60.0
207,7,32,1,1,1,1,0,1,0,1,1,1,0.037000,1339,73,10,4,140,17.3300,0.4443,35.543,1,143,2992,40.0,60.0,0.0,100.0
207,8,32,1,0,1,1,0,1,1,1,1,1,0.036000,1386,73,10,4,149,22.4900,0.4613,36.903,1,143,2992,20.0,80.0,20.0,80.0
207,9,32,1,0,0,0,1,1,0,0,1,1,0.033000,1410,73,10,4,149,10.6600,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
207,10,32,0,0,1,1,0,1,1,1,1,1,0.036000,1374,73,10,4,149,22.4900,0.4611,36.886,1,143,2992,40.0,60.0,20.0,80.0
207,11,32,0,0,0,0,0,1,0,1,1,1,0.034000,1371,73,10,4,149,13.0600,0.4608,36.862,1,143,2992,80.0,20.0,40.0,60.0
207,13,32,0,0,0,0,1,1,0,1,1,1,0.034000,1370,73,10,4,149,12.9300,0.4611,36.886,1,143,2992,60.0,40.0,40.0,60.0
207,15,32,1,0,1,0,0,0,0,1,1,0,0.028000,1403,73,10,4,149,9.7800,0.4444,35.550,1,143,2992,40.0,60.0,80.0,20.0
207,16,32,0,1,0,0,1,1,1,1,1,1,0.038000,1386,73,10,4,149,7.3700,0.4443,35.543,1,143,2992,40.0,60.0,20.0,80.0
207,17,32,1,1,0,0,1,1,1,1,1,0,0.029000,1410,73,10,4,149,11.1400,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
207,18,32,1,1,1,1,1,1,1,1,1,0,0.036000,1396,73,10,4,149,22.1500,0.4444,35.555,1,143,2992,0.0,100.0,20.0,80.0
207,19,32,0,1,0,1,0,1,0,1,1,1,0.037000,1339,73,10,4,140,12.9300,0.4443,35.543,1,143,2992,80.0,20.0,0.0,100.0
207,20,32,1,0,0,1,1,1,0,0,1,1,0.034000,1383,73,10,4,149,10.6600,0.4610,36.879,1,143,2992,40.0,60.0,40.0,60.0
