generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
506,12,256,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.076000,1970,75,13,4,620,1.5700,0.7184,43.102,1,1123,23628,87.5,12.5,37.5,62.5
506,13,256,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0.076000,1969,75,13,4,620,9.4700,0.7184,43.107,1,1123,23628,87.5,12.5,50.0,50.0
506,14,256,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.075000,1376,60,9,4,614,9.1200,0.4911,29.467,1,1123,23628,100.0,0.0,62.5,37.5
506,15,256,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1969,75,13,4,620,17.0300,0.7184,43.102,1,1123,23628,0.0,100.0,12.5,87.5
506,16,256,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0.076000,1973,75,13,4,620,9.3400,0.7184,43.102,1,1123,23628,75.0,25.0,37.5,62.5
506,17,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.076000,1970,75,13,4,620,8.9900,0.7184,43.102,1,1123,23628,87.5,12.5,87.5,12.5
506,18,256,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0.076000,1970,75,13,4,620,9.6900,0.7184,43.102,1,1123,23628,37.5,62.5,50.0,50.0
506,19,256,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0.076000,1975,75,13,4,620,9.4300,0.7184,43.102,1,1123,23628,75.0,25.0,62.5,37.5
506,20,256,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0.076000,1970,75,13,4,620,9.3800,0.7184,43.102,1,1123,23628,62.5,37.5,62.5,37.5
506,21,256,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0.076000,1970,75,13,4,620,9.2200,0.7184,43.102,1,1123,23628,62.5,37.5,75.0,25.0
506,22,256,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1989,75,13,4,620,17.0300,0.7250,43.503,1,1123,23628,12.5,87.5,12.5,87.5
506,23,256,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0.076000,1970,75,13,4,620,9.3600,0.7184,43.102,1,1123,23628,25.0,75.0,62.5,37.5
506,24,256,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0.076000,1970,75,13,4,620,1.9500,0.7184,43.102,1,1123,23628,87.5,12.5,12.5,87.5
506,25,256,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0.076000,1971,75,13,4,620,1.5600,0.7184,43.107,1,1123,23628,62.5,37.5,25.0,75.0
506,26,256,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0.076000,1963,74,13,4,618,9.4600,0.7184,43.102,1,1123,23628,0.0,100.0,75.0,25.0
506,27,256,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0.076000,1970,75,13,4,620,9.2500,0.7184,43.102,1,1123,23628,87.5,12.5,50.0,50.0
506,28,256,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0.076000,1967,75,13,4,620,9.4900,0.7184,43.107,1,1123,23628,37.5,62.5,50.0,50.0
506,29,256,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0.076000,1970,75,13,4,620,1.8600,0.7184,43.102,1,1123,23628,87.5,12.5,12.5,87.5
507,0,256,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.076000,1984,75,13,4,620,4.4500,0.7250,43.503,1,1123,23628,12.5,87.5,12.5,87.5
507,1,256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.074000,1509,61,13,4,616,9.0300,0.5812,34.872,1,1123,23628,87.5,12.5,100.0,0.0
507,2,256,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.076000,1984,75,13,4,620,11.6900,0.7250,43.503,1,1123,23628,37.5,62.5,37.5,62.5
507,3,256,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0.076000,1970,75,13,4,620,10.1300,0.7187,43.123,1,1123,23628,37.5,62.5,50.0,50.0
507,4,256,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0.076000,1970,75,13,4,620,9.6600,0.7184,43.102,1,1123,23628,25.0,75.0,37.5,62.5
507,5,256,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0.076000,1970,75,13,4,620,9.6500,0.7184,43.102,1,1123,23628,37.5,62.5,50.0,50.0
507,6,256,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0.076000,1979,75,13,4,620,9.7100,0.7184,43.107,1,1123,23628,37.5,62.5,50.0,50.0
507,7,256,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.076000,1973,75,13,4,620,8.9600,0.7184,43.102,1,1123,23628,75.0,25.0,87.5,12.5
507,8,256,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.076000,1984,75,13,4,620,9.0100,0.7250,43.503,1,1123,23628,87.5,12.5,87.5,12.5
507,9,256,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.074000,1509,61,13,4,616,9.2200,0.5812,34.872,1,1123,23628,50.0,50.0,100.0,0.0
507,10,256,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0.076000,1968,75,13,4,620,9.7100,0.7184,43.107,1,1123,23628,50.0,50.0,37.5,62.5
