generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
407,21,128,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.073000,1242,77,10,4,157,4.7100,0.5175,35.487,1,535,11528,14.3,85.7,14.3,85.7
407,22,128,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.073000,1272,77,10,4,157,23.1900,0.5318,36.469,1,535,11528,28.6,71.4,28.6,71.4
407,23,128,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.073000,1192,77,10,4,148,10.6600,0.5176,35.490,1,535,11528,85.7,14.3,0.0,100.0
407,24,128,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,12.1500,0.5176,35.490,1,535,11528,14.3,85.7,28.6,71.4
407,25,128,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0.073000,1248,77,10,4,157,10.5500,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
407,26,128,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0.073000,1238,77,10,4,157,9.9500,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
407,27,128,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.073000,1192,77,10,4,148,10.6500,0.5176,35.490,1,535,11528,85.7,14.3,0.0,100.0
407,28,128,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0.073000,1238,77,10,4,157,11.0300,0.5176,35.490,1,535,11528,42.9,57.1,28.6,71.4
407,29,128,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0.073000,1238,77,10,4,157,10.7400,0.5176,35.490,1,535,11528,85.7,14.3,28.6,71.4
408,0,128,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0.073000,1248,77,10,4,157,10.7700,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
408,1,128,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0.073000,1241,77,10,4,157,2.2600,0.5176,35.490,1,535,11528,85.7,14.3,14.3,85.7
408,2,128,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0.074000,1244,77,10,4,157,4.6900,0.5175,35.487,1,535,11528,28.6,71.4,14.3,85.7
408,4,128,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0.073000,1239,77,10,4,157,9.9800,0.5176,35.490,1,535,11528,85.7,14.3,28.6,71.4
