generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
605,22,512,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.076000,1991,78,13,4,627,9.0100,0.8325,44.401,1,2415,49104,88.9,11.1,88.9,11.1
605,23,512,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0.076000,1991,78,13,4,627,9.1700,0.8012,42.729,1,2415,49104,66.7,33.3,44.4,55.6
605,24,512,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0.076000,1991,78,13,4,627,1.9400,0.8012,42.729,1,2415,49104,88.9,11.1,11.1,88.9
605,25,512,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0.076000,1991,78,13,4,627,9.2100,0.8012,42.729,1,2415,49104,11.1,88.9,88.9,11.1
605,26,512,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0.076000,1996,78,13,4,627,10.5100,0.8012,42.729,1,2415,49104,55.6,44.4,11.1,88.9
605,27,512,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0.076000,1991,78,13,4,627,1.8400,0.8012,42.729,1,2415,49104,33.3,66.7,22.2,77.8
605,28,512,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.076000,1991,78,13,4,627,9.2800,0.8012,42.729,1,2415,49104,66.7,33.3,77.8,22.2
605,29,512,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0.076000,1988,78,13,4,627,9.5000,0.8012,42.729,1,2415,49104,44.4,55.6,33.3,66.7
606,0,512,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.076000,1991,78,13,4,627,8.9700,0.8012,42.729,1,2415,49104,88.9,11.1,88.9,11.1
606,1,512,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0.076000,1991,78,13,4,627,9.4000,0.8012,42.729,1,2415,49104,66.7,33.3,44.4,55.6
606,2,512,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0.076000,1996,78,13,4,627,10.6500,0.8012,42.729,1,2415,49104,44.4,55.6,11.1,88.9
606,3,512,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,11.5500,0.8012,42.729,1,2415,49104,44.4,55.6,33.3,66.7
606,4,512,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0.076000,1991,78,13,4,627,9.1600,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
606,5,512,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0.076000,1987,78,13,4,627,9.0400,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
606,6,512,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.8200,0.8012,42.729,1,2415,49104,55.6,44.4,44.4,55.6
606,7,512,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0.076000,1991,78,13,4,627,9.2000,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
606,8,512,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.076000,1991,78,13,4,627,9.2400,0.8012,42.729,1,2415,49104,77.8,22.2,77.8,22.2
