generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
106,17,16,1,0,0,0,1,1,1,1,0.075000,1903,63,13,4,596,23.6900,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
106,18,16,0,1,0,0,1,1,0,1,0.075000,1905,63,13,4,596,5.3400,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
106,20,16,1,0,1,0,0,1,1,1,0.075000,1903,63,13,4,596,23.4800,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
106,21,16,1,1,1,0,0,1,0,1,0.075000,1908,63,13,4,596,7.1400,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
106,22,16,1,0,0,0,0,1,0,0,0.075000,1905,63,13,4,596,11.6600,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
106,23,16,1,0,0,1,0,1,0,1,0.075000,1910,63,13,4,596,13.7400,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
106,24,16,1,1,0,1,1,0,0,1,0.075000,1908,63,13,4,596,5.5100,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
106,25,16,1,0,0,0,1,1,0,1,0.075000,1906,63,13,4,596,13.6100,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
106,26,16,1,0,1,0,1,1,1,0,0.075000,1904,63,13,4,596,12.2500,0.5259,42.069,1,83,1628,0.0,100.0,75.0,25.0
106,27,16,0,0,0,0,0,1,1,1,0.075000,1903,63,13,4,596,23.4800,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
106,28,16,1,1,0,0,0,1,0,1,0.075000,1905,63,13,4,596,7.1400,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
106,29,16,1,0,0,1,1,0,1,1,0.075000,1903,63,13,4,596,12.3600,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
107,0,16,1,1,0,1,0,0,0,1,0.075000,1905,63,13,4,596,4.8600,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
107,1,16,0,0,0,1,0,1,1,1,0.075000,1910,63,13,4,596,23.9400,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
107,2,16,1,0,1,0,0,0,1,1,0.075000,1916,63,13,4,596,12.0200,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
